"id_dtienda","nombre","unidades","anio","mes","semana","dia"
1,"Pepper - Orange","5152",2021,6,25,1
1,"Coffee - Irish Cream","2576",2021,6,25,1
1,"Wine - Marlbourough Sauv Blanc","2576",2021,6,25,1
1,"Honey - Liquid","2576",2021,6,25,1
1,"Carbonated Water - Peach","2576",2021,6,25,1
1,"Tomatoes - Vine Ripe, Yellow","2576",2021,6,25,1
1,"Chocolate - Feathers","2576",2021,6,25,1
1,"Ecolab - Medallion","2576",2021,6,25,1
1,"Lid - 3oz Med Rec","2576",2021,6,25,1
1,"Banana","2576",2021,6,25,1
1,"Chicken - Diced, Cooked","2576",2021,6,25,1
1,"Bar Mix - Lime","2576",2021,6,25,1
1,"Pasta - Angel Hair","2576",2021,6,25,1
1,"Chilli Paste, Hot Sambal Oelek","2576",2021,6,25,1
1,"Wine - Bourgogne 2002, La","2576",2021,6,25,1
1,"Pepper - Roasted Red","2576",2021,6,25,1
1,"Dome Lid Clear P92008h","2576",2021,6,25,1
1,"Orange - Tangerine","2576",2021,6,25,1
1,"Nantucket Orange Juice","2576",2021,6,25,1
1,"Beef - Rib Roast, Capless","2576",2021,6,25,1
1,"Pasta - Fusili, Dry","2576",2021,6,25,1
1,"Sugar - Splenda Sweetener","2576",2021,6,25,1
1,"Puree - Raspberry","2576",2021,6,25,1
1,"Mints - Striped Red","2576",2021,6,25,1
1,"Cheese - Cottage Cheese","2576",2021,6,25,1
1,"Juice - Apple, 341 Ml","2576",2021,6,25,1
1,"Ice Cream - Super Sandwich","2576",2021,6,25,1
1,"Basil - Pesto Sauce","2576",2021,6,25,1
1,"Soup - Campbells Beef Stew","2576",2021,6,25,1
1,"Cheese - Pont Couvert","2576",2021,6,25,1
1,"Shrimp - Black Tiger 26/30","2576",2021,6,25,1
1,"Lobster - Canned Premium","2576",2021,6,25,1
1,"Wine - Ej Gallo Sonoma","2576",2021,6,25,1
1,"The Pop Shoppe - Grape","2576",2021,6,25,1
1,"Soup - Campbells Chili Veg","2576",2021,6,25,1
1,"Zucchini - Green","2576",2021,6,25,1
1,"Crab - Claws, 26 - 30","2576",2021,6,25,1
1,"Island Oasis - Magarita Mix","2576",2021,6,25,1
1,"Nantucket - Pomegranate Pear","2576",2021,6,25,1
1,"Beets - Golden","2576",2021,6,25,1
1,"Madeira","2576",2021,6,25,1
1,"Sugar - Brown, Individual","2576",2021,6,25,1
1,"Bread - Multigrain Oval","2576",2021,6,25,1
1,"Saskatoon Berries - Frozen","2576",2021,6,25,1
1,"Amaretto","2576",2021,6,25,1
1,"Slt - Individual Portions","2576",2021,6,25,1
1,"Flower - Commercial Bronze","2576",2021,6,25,1
1,"Oregano - Dry, Rubbed","2576",2021,6,25,1
1,"Fruit Salad Deluxe","2576",2021,6,25,1
1,"Lamb Shoulder Boneless Nz","2576",2021,6,25,1
1,"Carbonated Water - Strawberry","2576",2021,6,25,1
1,"Meldea Green Tea Liquor","2576",2021,6,25,1
1,"Wine - Magnotta - Pinot Gris Sr","2576",2021,6,25,1
1,"Spice - Onion Powder Granulated","2576",2021,6,25,1
1,"Tortillas - Flour, 10","2576",2021,6,25,1
1,"Seabream Whole Farmed","2576",2021,6,25,1
1,"Apricots - Halves","2576",2021,6,25,1
1,"Roe - Flying Fish","2576",2021,6,25,1
1,"Wine - Red, Concha Y Toro","2576",2021,6,25,1
1,"Papadam","2576",2021,6,25,1
1,"Cheese - St. Paulin","2576",2021,6,25,1
1,"Crab Brie In Phyllo","2576",2021,6,25,1
1,"Curry Powder Madras","2576",2021,6,25,1
1,"Quail - Jumbo Boneless","2576",2021,6,25,1
1,"Shark - Loin","2576",2021,6,25,1
1,"Wine - Trimbach Pinot Blanc","2576",2021,6,25,1
1,"Wine - White, Lindemans Bin 95","2576",2021,6,25,1
1,"Squash - Acorn","2576",2021,6,25,1
1,"Foam Cup 6 Oz","2576",2021,6,25,1
1,"Sobe - Cranberry Grapefruit","2576",2021,6,25,1
1,"Bread - Corn Muffaletta","2576",2021,6,25,1
1,"Bagel - Whole White Sesame","2576",2021,6,25,1
1,"Muffin Hinge 117n","2576",2021,6,25,1
1,"Sambuca - Ramazzotti","2576",2021,6,25,1
1,"Wine - White, Gewurtzraminer","2576",2021,6,25,1
1,"Olives - Nicoise","2576",2021,6,25,1
1,"Trueblue - Blueberry","2576",2021,6,25,1
1,"Cognac - Courvaisier","2576",2021,6,25,1
1,"Tart Shells - Savory, 2","2576",2021,6,25,1
1,"Coffee - Frthy Coffee Crisp","2576",2021,6,25,1
1,"French Pastries","2576",2021,6,25,1
1,"Remy Red Berry Infusion","2576",2021,6,25,1
1,"Coffee Cup 8oz 5338cd","2576",2021,6,25,1
1,"Spaghetti Squash","2576",2021,6,25,1
1,"Muffin Mix - Banana Nut","2576",2021,6,25,1
1,"Lemonade - Strawberry, 591 Ml","2576",2021,6,25,1
1,"Garlic - Peeled","2576",2021,6,25,1
1,"Potatoes - Fingerling 4 Oz","2576",2021,6,25,1
1,"Basil - Primerba, Paste","2576",2021,6,25,1
1,"Pasta - Detalini, White, Fresh","2576",2021,6,25,1
1,"Salmon Atl.whole 8 - 10 Lb","2576",2021,6,25,1
1,"Chocolate Liqueur - Godet White","2576",2021,6,25,1
1,"Snapple Raspberry Tea","2576",2021,6,25,1
1,"Bar - Granola Trail Mix Fruit Nut","2576",2021,6,25,1
1,"Wine - Zinfandel California 2002","2576",2021,6,25,1
1,"Bols Melon Liqueur","2576",2021,6,25,1
1,"Hipnotiq Liquor","2576",2021,6,25,1
1,"Pepper - Red Bell","2576",2021,6,25,1
1,"Cardamon Ground","2576",2021,6,25,1
1,"Pepper - Orange","3748",2021,6,25,3
1,"Nantucket Orange Juice","1874",2021,6,25,3
1,"Wine - Marlbourough Sauv Blanc","1874",2021,6,25,3
1,"Banana","1874",2021,6,25,3
1,"Coffee Cup 8oz 5338cd","1874",2021,6,25,3
1,"Zucchini - Green","1874",2021,6,25,3
1,"Sugar - Splenda Sweetener","1874",2021,6,25,3
1,"Wine - Ej Gallo Sonoma","1874",2021,6,25,3
1,"Sugar - Brown, Individual","1874",2021,6,25,3
1,"Honey - Liquid","1874",2021,6,25,3
1,"Snapple Raspberry Tea","1874",2021,6,25,3
1,"Oregano - Dry, Rubbed","1874",2021,6,25,3
1,"French Pastries","1874",2021,6,25,3
1,"Wine - Zinfandel California 2002","1874",2021,6,25,3
1,"Tomatoes - Vine Ripe, Yellow","1874",2021,6,25,3
1,"Olives - Nicoise","1874",2021,6,25,3
1,"Fruit Salad Deluxe","1874",2021,6,25,3
1,"Cheese - St. Paulin","1874",2021,6,25,3
1,"The Pop Shoppe - Grape","1874",2021,6,25,3
1,"Salmon Atl.whole 8 - 10 Lb","1874",2021,6,25,3
1,"Spaghetti Squash","1874",2021,6,25,3
1,"Shark - Loin","1874",2021,6,25,3
1,"Garlic - Peeled","1874",2021,6,25,3
1,"Beets - Golden","1874",2021,6,25,3
1,"Basil - Primerba, Paste","1874",2021,6,25,3
1,"Juice - Apple, 341 Ml","1874",2021,6,25,3
1,"Soup - Campbells Chili Veg","1874",2021,6,25,3
1,"Sambuca - Ramazzotti","1874",2021,6,25,3
1,"Crab Brie In Phyllo","1874",2021,6,25,3
1,"Carbonated Water - Peach","1874",2021,6,25,3
1,"Pepper - Roasted Red","1874",2021,6,25,3
1,"Meldea Green Tea Liquor","1874",2021,6,25,3
1,"Bols Melon Liqueur","1874",2021,6,25,3
1,"Wine - Magnotta - Pinot Gris Sr","1874",2021,6,25,3
1,"Pasta - Detalini, White, Fresh","1874",2021,6,25,3
1,"Spice - Onion Powder Granulated","1874",2021,6,25,3
1,"Dome Lid Clear P92008h","1874",2021,6,25,3
1,"Cheese - Cottage Cheese","1874",2021,6,25,3
1,"Nantucket - Pomegranate Pear","1874",2021,6,25,3
1,"Tortillas - Flour, 10","1874",2021,6,25,3
1,"Crab - Claws, 26 - 30","1874",2021,6,25,3
1,"Tart Shells - Savory, 2","1874",2021,6,25,3
1,"Lid - 3oz Med Rec","1874",2021,6,25,3
1,"Lemonade - Strawberry, 591 Ml","1874",2021,6,25,3
1,"Pepper - Red Bell","1874",2021,6,25,3
1,"Wine - Bourgogne 2002, La","1874",2021,6,25,3
1,"Papadam","1874",2021,6,25,3
1,"Squash - Acorn","1874",2021,6,25,3
1,"Wine - White, Lindemans Bin 95","1874",2021,6,25,3
1,"Pasta - Angel Hair","1874",2021,6,25,3
1,"Curry Powder Madras","1874",2021,6,25,3
1,"Soup - Campbells Beef Stew","1874",2021,6,25,3
1,"Beef - Rib Roast, Capless","1874",2021,6,25,3
1,"Flower - Commercial Bronze","1874",2021,6,25,3
1,"Bread - Multigrain Oval","1874",2021,6,25,3
1,"Bagel - Whole White Sesame","1874",2021,6,25,3
1,"Bread - Corn Muffaletta","1874",2021,6,25,3
1,"Bar - Granola Trail Mix Fruit Nut","1874",2021,6,25,3
1,"Apricots - Halves","1874",2021,6,25,3
1,"Amaretto","1874",2021,6,25,3
1,"Orange - Tangerine","1874",2021,6,25,3
1,"Hipnotiq Liquor","1874",2021,6,25,3
1,"Seabream Whole Farmed","1874",2021,6,25,3
1,"Shrimp - Black Tiger 26/30","1874",2021,6,25,3
1,"Cognac - Courvaisier","1874",2021,6,25,3
1,"Chilli Paste, Hot Sambal Oelek","1874",2021,6,25,3
1,"Chicken - Diced, Cooked","1874",2021,6,25,3
1,"Foam Cup 6 Oz","1874",2021,6,25,3
1,"Coffee - Frthy Coffee Crisp","1874",2021,6,25,3
1,"Slt - Individual Portions","1874",2021,6,25,3
1,"Trueblue - Blueberry","1874",2021,6,25,3
1,"Wine - White, Gewurtzraminer","1874",2021,6,25,3
1,"Saskatoon Berries - Frozen","1874",2021,6,25,3
1,"Roe - Flying Fish","1874",2021,6,25,3
1,"Muffin Hinge 117n","1874",2021,6,25,3
1,"Madeira","1874",2021,6,25,3
1,"Chocolate - Feathers","1874",2021,6,25,3
1,"Lamb Shoulder Boneless Nz","1874",2021,6,25,3
1,"Remy Red Berry Infusion","1874",2021,6,25,3
1,"Cheese - Pont Couvert","1874",2021,6,25,3
1,"Coffee - Irish Cream","1874",2021,6,25,3
1,"Basil - Pesto Sauce","1874",2021,6,25,3
1,"Island Oasis - Magarita Mix","1874",2021,6,25,3
1,"Bar Mix - Lime","1874",2021,6,25,3
1,"Puree - Raspberry","1874",2021,6,25,3
1,"Mints - Striped Red","1874",2021,6,25,3
1,"Ice Cream - Super Sandwich","1874",2021,6,25,3
1,"Wine - Trimbach Pinot Blanc","1874",2021,6,25,3
1,"Quail - Jumbo Boneless","1874",2021,6,25,3
1,"Ecolab - Medallion","1874",2021,6,25,3
1,"Muffin Mix - Banana Nut","1874",2021,6,25,3
1,"Lobster - Canned Premium","1874",2021,6,25,3
1,"Chocolate Liqueur - Godet White","1874",2021,6,25,3
1,"Potatoes - Fingerling 4 Oz","1874",2021,6,25,3
1,"Carbonated Water - Strawberry","1874",2021,6,25,3
1,"Sobe - Cranberry Grapefruit","1874",2021,6,25,3
1,"Cardamon Ground","1874",2021,6,25,3
1,"Pasta - Fusili, Dry","1874",2021,6,25,3
1,"Wine - Red, Concha Y Toro","1874",2021,6,25,3
1,"Pepper - Orange","2700",2021,6,25,4
1,"Ecolab - Medallion","1350",2021,6,25,4
1,"Seabream Whole Farmed","1350",2021,6,25,4
1,"Pasta - Detalini, White, Fresh","1350",2021,6,25,4
1,"Lobster - Canned Premium","1350",2021,6,25,4
1,"Dome Lid Clear P92008h","1350",2021,6,25,4
1,"Chocolate - Feathers","1350",2021,6,25,4
1,"Bread - Corn Muffaletta","1350",2021,6,25,4
1,"Honey - Liquid","1350",2021,6,25,4
1,"Crab Brie In Phyllo","1350",2021,6,25,4
1,"Crab - Claws, 26 - 30","1350",2021,6,25,4
1,"Puree - Raspberry","1350",2021,6,25,4
1,"Sobe - Cranberry Grapefruit","1350",2021,6,25,4
1,"Lid - 3oz Med Rec","1350",2021,6,25,4
1,"Lamb Shoulder Boneless Nz","1350",2021,6,25,4
1,"Quail - Jumbo Boneless","1350",2021,6,25,4
1,"Cognac - Courvaisier","1350",2021,6,25,4
1,"Remy Red Berry Infusion","1350",2021,6,25,4
1,"Slt - Individual Portions","1350",2021,6,25,4
1,"Flower - Commercial Bronze","1350",2021,6,25,4
1,"The Pop Shoppe - Grape","1350",2021,6,25,4
1,"Beets - Golden","1350",2021,6,25,4
