"id_dtienda","id_destanteria","nombre","unidades"
1,1,"Arthopyreniaceae",6129
1,1,"Convolvulaceae",5448
1,1,"Asteraceae",5448
1,1,"Onagraceae",4767
1,1,"Rosaciale",4767
1,1,"Rosaceae",4767
1,1,"Polemoniaceae",4767
1,1,"Dryopteridaceae",4086
1,1,"Caliare",4086
1,1,"Myrsinaceae",4086
1,1,"Polemonia",4086
1,1,"Pinaceae",3405
1,1,"Asterisc",3405
1,1,"Fagaceae",3405
1,1,"Lamiaceae",3405
1,1,"Parmeliaceae",3405
1,1,"Liliaceae",3405
1,1,"Caryophyllaceae",3405
1,1,"Verbenaceae",2724
1,1,"Lametire",2724
1,1,"Theaceae",2724
1,1,"Astral",2724
1,1,"Lecanoraceae",2724
1,1,"Brassicaceae",2043
1,1,"Caryphintio",2043
1,1,"Faquase",2043
1,1,"Poaceae",1362
1,1,"Fabaceae",1362
1,1,"Pedaliaceae",1362
1,2,"Arthopyreniaceae",15039
1,2,"Convolvulaceae",13368
1,2,"Asteraceae",13368
1,2,"Polemoniaceae",11697
1,2,"Onagraceae",11697
1,2,"Rosaciale",11697
1,2,"Rosaceae",11697
1,2,"Caliare",10026
1,2,"Dryopteridaceae",10026
1,2,"Myrsinaceae",10026
1,2,"Polemonia",10026
1,2,"Parmeliaceae",8355
1,2,"Caryophyllaceae",8355
1,2,"Lamiaceae",8355
1,2,"Pinaceae",8355
1,2,"Asterisc",8355
1,2,"Liliaceae",8355
1,2,"Fagaceae",8355
1,2,"Astral",6684
1,2,"Lecanoraceae",6684
1,2,"Theaceae",6684
1,2,"Verbenaceae",6684
1,2,"Lametire",6684
1,2,"Faquase",5013
1,2,"Caryphintio",5013
1,2,"Brassicaceae",5013
1,2,"Pedaliaceae",3342
1,2,"Poaceae",3342
1,2,"Fabaceae",3342
1,3,"Arthopyreniaceae",9711
1,3,"Convolvulaceae",8632
1,3,"Asteraceae",8632
1,3,"Polemoniaceae",7553
1,3,"Rosaceae",7553
1,3,"Onagraceae",7553
1,3,"Rosaciale",7553
1,3,"Polemonia",6474
1,3,"Caliare",6474
1,3,"Dryopteridaceae",6474
1,3,"Myrsinaceae",6474
1,3,"Asterisc",5395
1,3,"Pinaceae",5395
1,3,"Fagaceae",5395
1,3,"Caryophyllaceae",5395
1,3,"Parmeliaceae",5395
1,3,"Lamiaceae",5395
1,3,"Liliaceae",5395
1,3,"Astral",4316
1,3,"Lametire",4316
1,3,"Verbenaceae",4316
1,3,"Theaceae",4316
1,3,"Lecanoraceae",4316
1,3,"Caryphintio",3237
1,3,"Faquase",3237
1,3,"Brassicaceae",3237
1,3,"Poaceae",2158
1,3,"Fabaceae",2158
1,3,"Pedaliaceae",2158
1,4,"Arthopyreniaceae",11313
1,4,"Asteraceae",10056
1,4,"Convolvulaceae",10056
1,4,"Polemoniaceae",8799
1,4,"Onagraceae",8799
1,4,"Rosaceae",8799
1,4,"Rosaciale",8799
1,4,"Caliare",7542
1,4,"Polemonia",7542
1,4,"Myrsinaceae",7542
1,4,"Dryopteridaceae",7542
1,4,"Asterisc",6285
1,4,"Lamiaceae",6285
1,4,"Caryophyllaceae",6285
1,4,"Parmeliaceae",6285
1,4,"Liliaceae",6285
1,4,"Pinaceae",6285
1,4,"Fagaceae",6285
1,4,"Lametire",5028
1,4,"Lecanoraceae",5028
1,4,"Theaceae",5028
1,4,"Astral",5028
1,4,"Verbenaceae",5028
1,4,"Caryphintio",3771
1,4,"Brassicaceae",3771
1,4,"Faquase",3771
1,4,"Poaceae",2514
1,4,"Fabaceae",2514
1,4,"Pedaliaceae",2514
1,8,"Arthopyreniaceae",22374
1,8,"Asteraceae",19888
1,8,"Convolvulaceae",19888
1,8,"Rosaceae",17402
1,8,"Polemoniaceae",17402
1,8,"Onagraceae",17402
1,8,"Rosaciale",17402
1,8,"Caliare",14916
1,8,"Myrsinaceae",14916
1,8,"Polemonia",14916
1,8,"Dryopteridaceae",14916
1,8,"Liliaceae",12430
1,8,"Caryophyllaceae",12430
1,8,"Asterisc",12430
1,8,"Parmeliaceae",12430
1,8,"Pinaceae",12430
1,8,"Lamiaceae",12430
1,8,"Fagaceae",12430
1,8,"Lametire",9944
1,8,"Lecanoraceae",9944
1,8,"Verbenaceae",9944
1,8,"Theaceae",9944
1,8,"Astral",9944
1,8,"Faquase",7458
1,8,"Brassicaceae",7458
1,8,"Caryphintio",7458
1,8,"Poaceae",4972
1,8,"Pedaliaceae",4972
1,8,"Fabaceae",4972
1,11,"Arthopyreniaceae",8109
1,11,"Convolvulaceae",7208
1,11,"Asteraceae",7208
1,11,"Rosaceae",6307
1,11,"Polemoniaceae",6307
1,11,"Onagraceae",6307
1,11,"Rosaciale",6307
1,11,"Myrsinaceae",5406
1,11,"Polemonia",5406
1,11,"Caliare",5406
1,11,"Dryopteridaceae",5406
1,11,"Liliaceae",4505
1,11,"Caryophyllaceae",4505
1,11,"Pinaceae",4505
1,11,"Lamiaceae",4505
1,11,"Fagaceae",4505
1,11,"Parmeliaceae",4505
1,11,"Asterisc",4505
1,11,"Verbenaceae",3604
1,11,"Lametire",3604
1,11,"Lecanoraceae",3604
1,11,"Astral",3604
1,11,"Theaceae",3604
1,11,"Brassicaceae",2703
1,11,"Faquase",2703
1,11,"Caryphintio",2703
1,11,"Poaceae",1802
1,11,"Fabaceae",1802
1,11,"Pedaliaceae",1802
1,14,"Arthopyreniaceae",6300
1,14,"Convolvulaceae",5600
1,14,"Asteraceae",5600
1,14,"Rosaciale",4900
1,14,"Polemoniaceae",4900
1,14,"Rosaceae",4900
1,14,"Onagraceae",4900
1,14,"Caliare",4200
1,14,"Polemonia",4200
1,14,"Myrsinaceae",4200
1,14,"Dryopteridaceae",4200
1,14,"Liliaceae",3500
1,14,"Caryophyllaceae",3500
1,14,"Fagaceae",3500
1,14,"Asterisc",3500
1,14,"Pinaceae",3500
1,14,"Lamiaceae",3500
1,14,"Parmeliaceae",3500
1,14,"Theaceae",2800
1,14,"Verbenaceae",2800
1,14,"Astral",2800
1,14,"Lametire",2800
1,14,"Lecanoraceae",2800
1,14,"Caryphintio",2100
1,14,"Brassicaceae",2100
1,14,"Faquase",2100
1,14,"Poaceae",1400
1,14,"Fabaceae",1400
1,14,"Pedaliaceae",1400
1,17,"Arthopyreniaceae",8118
1,17,"Asteraceae",7216
1,17,"Convolvulaceae",7216
1,17,"Rosaceae",6314
1,17,"Rosaciale",6314
1,17,"Polemoniaceae",6314
1,17,"Onagraceae",6314
1,17,"Caliare",5412
1,17,"Myrsinaceae",5412
1,17,"Polemonia",5412
1,17,"Dryopteridaceae",5412
1,17,"Fagaceae",4510
1,17,"Lamiaceae",4510
1,17,"Asterisc",4510
1,17,"Pinaceae",4510
1,17,"Liliaceae",4510
1,17,"Parmeliaceae",4510
