"id_dtienda","nombre","unidades"
1,"Arthopyreniaceae",102483
1,"Asteraceae",91096
1,"Convolvulaceae",91096
1,"Onagraceae",79709
1,"Rosaciale",79709
1,"Rosaceae",79709
1,"Polemoniaceae",79709
1,"Dryopteridaceae",68322
1,"Myrsinaceae",68322
1,"Caliare",68322
1,"Polemonia",68322
1,"Parmeliaceae",56935
1,"Asterisc",56935
1,"Fagaceae",56935
1,"Liliaceae",56935
1,"Lamiaceae",56935
1,"Caryophyllaceae",56935
1,"Pinaceae",56935
1,"Theaceae",45548
1,"Verbenaceae",45548
1,"Lametire",45548
1,"Astral",45548
1,"Lecanoraceae",45548
1,"Faquase",34161
1,"Caryphintio",34161
1,"Brassicaceae",34161
1,"Fabaceae",22774
1,"Pedaliaceae",22774
1,"Poaceae",22774
2,"Arthopyreniaceae",43344
2,"Asteraceae",38528
2,"Convolvulaceae",38528
2,"Onagraceae",33712
2,"Polemoniaceae",33712
2,"Rosaciale",33712
2,"Rosaceae",33712
2,"Caliare",28896
2,"Polemonia",28896
2,"Myrsinaceae",28896
2,"Dryopteridaceae",28896
2,"Pinaceae",24080
2,"Lamiaceae",24080
2,"Asterisc",24080
2,"Liliaceae",24080
2,"Fagaceae",24080
2,"Parmeliaceae",24080
2,"Caryophyllaceae",24080
2,"Lecanoraceae",19264
2,"Verbenaceae",19264
2,"Lametire",19264
2,"Astral",19264
2,"Theaceae",19264
2,"Faquase",14448
2,"Brassicaceae",14448
2,"Caryphintio",14448
2,"Fabaceae",9632
2,"Pedaliaceae",9632
2,"Poaceae",9632
