"id_dtienda","id_destanteria","nombre","unidades","anio","mes","semana","dia"
1,8,"Pepper - Orange",2440,2021,6,25,1
1,20,"Pepper - Orange",2440,2021,6,25,1
1,20,"Wine - White, Lindemans Bin 95",1220,2021,6,25,1
1,8,"Muffin Mix - Banana Nut",1220,2021,6,25,1
1,20,"Wine - Zinfandel California 2002",1220,2021,6,25,1
1,20,"Pasta - Detalini, White, Fresh",1220,2021,6,25,1
1,8,"Trueblue - Blueberry",1220,2021,6,25,1
1,8,"Shrimp - Black Tiger 26/30",1220,2021,6,25,1
1,20,"Zucchini - Green",1220,2021,6,25,1
1,20,"Basil - Pesto Sauce",1220,2021,6,25,1
1,20,"Pasta - Angel Hair",1220,2021,6,25,1
1,8,"Muffin Hinge 117n",1220,2021,6,25,1
1,20,"Chilli Paste, Hot Sambal Oelek",1220,2021,6,25,1
1,20,"Bar Mix - Lime",1220,2021,6,25,1
1,20,"Chocolate - Feathers",1220,2021,6,25,1
1,20,"Papadam",1220,2021,6,25,1
1,8,"Mints - Striped Red",1220,2021,6,25,1
1,20,"Bar - Granola Trail Mix Fruit Nut",1220,2021,6,25,1
1,20,"Banana",1220,2021,6,25,1
1,20,"Chocolate Liqueur - Godet White",1220,2021,6,25,1
1,20,"Oregano - Dry, Rubbed",1220,2021,6,25,1
1,8,"Wine - Bourgogne 2002, La",1220,2021,6,25,1
1,20,"Bagel - Whole White Sesame",1220,2021,6,25,1
1,20,"Coffee Cup 8oz 5338cd",1220,2021,6,25,1
1,20,"Apricots - Halves",1220,2021,6,25,1
1,20,"Orange - Tangerine",1220,2021,6,25,1
1,8,"Salmon Atl.whole 8 - 10 Lb",1220,2021,6,25,1
1,20,"Amaretto",1220,2021,6,25,1
1,20,"Coffee - Frthy Coffee Crisp",1220,2021,6,25,1
1,20,"Coffee - Irish Cream",1220,2021,6,25,1
1,20,"Olives - Nicoise",1220,2021,6,25,1
1,8,"Meldea Green Tea Liquor",1220,2021,6,25,1
1,20,"Cognac - Courvaisier",1220,2021,6,25,1
1,20,"Crab Brie In Phyllo",1220,2021,6,25,1
1,20,"Crab - Claws, 26 - 30",1220,2021,6,25,1
1,20,"Nantucket - Pomegranate Pear",1220,2021,6,25,1
1,8,"Madeira",1220,2021,6,25,1
1,20,"Curry Powder Madras",1220,2021,6,25,1
1,20,"Dome Lid Clear P92008h",1220,2021,6,25,1
1,20,"Ecolab - Medallion",1220,2021,6,25,1
1,20,"Nantucket Orange Juice",1220,2021,6,25,1
1,8,"Wine - Ej Gallo Sonoma",1220,2021,6,25,1
1,20,"Flower - Commercial Bronze",1220,2021,6,25,1
1,20,"Foam Cup 6 Oz",1220,2021,6,25,1
1,20,"French Pastries",1220,2021,6,25,1
1,20,"Muffin Mix - Banana Nut",1220,2021,6,25,1
1,8,"Roe - Flying Fish",1220,2021,6,25,1
1,20,"Fruit Salad Deluxe",1220,2021,6,25,1
1,20,"Garlic - Peeled",1220,2021,6,25,1
1,20,"Hipnotiq Liquor",1220,2021,6,25,1
1,20,"Muffin Hinge 117n",1220,2021,6,25,1
1,8,"Lobster - Canned Premium",1220,2021,6,25,1
1,20,"Honey - Liquid",1220,2021,6,25,1
1,20,"Ice Cream - Super Sandwich",1220,2021,6,25,1
1,20,"Mints - Striped Red",1220,2021,6,25,1
1,8,"Lid - 3oz Med Rec",1220,2021,6,25,1
1,20,"Island Oasis - Magarita Mix",1220,2021,6,25,1
1,20,"Juice - Apple, 341 Ml",1220,2021,6,25,1
1,20,"Lamb Shoulder Boneless Nz",1220,2021,6,25,1
1,20,"Meldea Green Tea Liquor",1220,2021,6,25,1
1,8,"Wine - Magnotta - Pinot Gris Sr",1220,2021,6,25,1
1,20,"Lemonade - Strawberry, 591 Ml",1220,2021,6,25,1
1,20,"Lid - 3oz Med Rec",1220,2021,6,25,1
1,20,"Lobster - Canned Premium",1220,2021,6,25,1
1,20,"Madeira",1220,2021,6,25,1
1,8,"Spaghetti Squash",1220,2021,6,25,1
1,8,"Lemonade - Strawberry, 591 Ml",1220,2021,6,25,1
1,8,"Lamb Shoulder Boneless Nz",1220,2021,6,25,1
1,8,"Wine - Marlbourough Sauv Blanc",1220,2021,6,25,1
1,8,"Sobe - Cranberry Grapefruit",1220,2021,6,25,1
1,8,"Juice - Apple, 341 Ml",1220,2021,6,25,1
1,8,"Island Oasis - Magarita Mix",1220,2021,6,25,1
1,8,"Wine - Red, Concha Y Toro",1220,2021,6,25,1
1,8,"Remy Red Berry Infusion",1220,2021,6,25,1
1,8,"Ice Cream - Super Sandwich",1220,2021,6,25,1
1,8,"Honey - Liquid",1220,2021,6,25,1
1,8,"Wine - Trimbach Pinot Blanc",1220,2021,6,25,1
1,8,"Quail - Jumbo Boneless",1220,2021,6,25,1
1,8,"Hipnotiq Liquor",1220,2021,6,25,1
1,8,"Garlic - Peeled",1220,2021,6,25,1
1,8,"Wine - White, Gewurtzraminer",1220,2021,6,25,1
1,8,"Spice - Onion Powder Granulated",1220,2021,6,25,1
1,8,"Fruit Salad Deluxe",1220,2021,6,25,1
1,8,"French Pastries",1220,2021,6,25,1
1,8,"Wine - White, Lindemans Bin 95",1220,2021,6,25,1
1,8,"Snapple Raspberry Tea",1220,2021,6,25,1
1,8,"Foam Cup 6 Oz",1220,2021,6,25,1
1,8,"Flower - Commercial Bronze",1220,2021,6,25,1
1,8,"Wine - Zinfandel California 2002",1220,2021,6,25,1
1,8,"Puree - Raspberry",1220,2021,6,25,1
1,8,"Ecolab - Medallion",1220,2021,6,25,1
1,8,"Dome Lid Clear P92008h",1220,2021,6,25,1
1,8,"Zucchini - Green",1220,2021,6,25,1
1,8,"Potatoes - Fingerling 4 Oz",1220,2021,6,25,1
1,8,"Curry Powder Madras",1220,2021,6,25,1
1,8,"Crab - Claws, 26 - 30",1220,2021,6,25,1
1,8,"Crab Brie In Phyllo",1220,2021,6,25,1
1,8,"Cognac - Courvaisier",1220,2021,6,25,1
1,20,"Spaghetti Squash",1220,2021,6,25,1
1,20,"Beef - Rib Roast, Capless",1220,2021,6,25,1
1,8,"Coffee - Irish Cream",1220,2021,6,25,1
1,8,"Coffee - Frthy Coffee Crisp",1220,2021,6,25,1
1,8,"Coffee Cup 8oz 5338cd",1220,2021,6,25,1
1,20,"Soup - Campbells Chili Veg",1220,2021,6,25,1
1,20,"Bread - Corn Muffaletta",1220,2021,6,25,1
